SOA,SOB,SOC,SOA,SOB,SOC
0x07F3,0x07FC,0x0800,0x0800,0x0803,0x0801
0x07F7,0x07FB,0x07FE,0x0803,0x0800,0x0800
0x07F7,0x07FA,0x0800,0x0802,0x0804,0x0801
0x07F6,0x07FB,0x07FD,0x0801,0x0802,0x07FF
0x07F7,0x07FC,0x07FF,0x07FE,0x0803,0x0801
0x07F6,0x07FE,0x07FD,0x0801,0x0805,0x0801
0x07F9,0x07FC,0x07FC,0x0801,0x0805,0x0800
0x07F4,0x07FA,0x07FD,0x0802,0x0801,0x07FD
0x07F6,0x07F9,0x07FE,0x0801,0x0802,0x07FF
0x07F8,0x07FA,0x07FF,0x0802,0x0803,0x07FE
0x07F5,0x07FC,0x07FE,0x0801,0x0803,0x0802
0x07F7,0x07FC,0x07FE,0x0802,0x0803,0x0801
0x07F8,0x07FA,0x07FF,0x0802,0x0805,0x07FF
0x07F6,0x07FC,0x07FD,0x0802,0x0800,0x07FF
0x07F6,0x07FA,0x07FE,0x07FE,0x0804,0x07FE
0x07F7,0x07FE,0x0800,0x0800,0x0803,0x07FF
0x07F5,0x07FB,0x07FE,0x0800,0x0803,0x07FE
0x07F6,0x07FB,0x07FF,0x07FF,0x0802,0x0800
0x07F8,0x07FC,0x07FD,0x0803,0x0802,0x0800
0x07F9,0x07FC,0x07FF,0x0801,0x0803,0x0800
0x07F7,0x07FC,0x07FE,0x07FF,0x0804,0x0801
0x07F3,0x07FC,0x07FF,0x07FF,0x0804,0x0801
0x07F4,0x07FC,0x07FE,0x07FF,0x0803,0x07FE
0x07F8,0x07FC,0x0801,0x0800,0x0805,0x0801
0x07F5,0x07FE,0x07FF,0x07FF,0x0802,0x07FE
0x07F4,0x07FE,0x07FD,0x07FC,0x0804,0x0800
0x07F9,0x07FB,0x07FF,0x0801,0x0803,0x0801
0x07F4,0x07FB,0x07FE,0x0802,0x0802,0x0800
0x07F4,0x07FC,0x07FD,0x07FF,0x0805,0x0800
0x07F7,0x07FE,0x0801,0x0802,0x0806,0x07FD
0x07F5,0x07FB,0x07FD,0x0801,0x0804,0x07FF
0x07F6,0x07FD,0x07FD,0x0803,0x0804,0x07FE
0x07F9,0x07FD,0x07FD,0x0802,0x0803,0x0800
0x07F8,0x07FC,0x07FD,0x0803,0x0804,0x0801
0x07F6,0x07FD,0x07FD,0x0805,0x0802,0x0800
0x07F6,0x07F9,0x0800,0x0802,0x0802,0x0801
0x07F8,0x07FB,0x07FE,0x07FF,0x0804,0x07FF
0x07F6,0x07FC,0x07FD,0x0801,0x0802,0x0802
0x07F6,0x07FC,0x07FD,0x0800,0x0804,0x07FF
0x07F7,0x07FC,0x0800,0x0804,0x0803,0x0801
0x07F5,0x07FC,0x0801,0x0803,0x0803,0x07FF
0x07F8,0x07FD,0x0800,0x0804,0x0805,0x07FE
0x07F9,0x07FB,0x07FF,0x0804,0x0804,0x0801
0x07F5,0x07FD,0x07FE,0x07FE,0x0800,0x07FD
0x07F6,0x07FC,0x07FD,0x0803,0x0804,0x0801
0x07F6,0x07FC,0x0800,0x0800,0x0805,0x07FF
0x07F5,0x07FC,0x07FF,0x0801,0x0804,0x0801
0x07F6,0x07FC,0x07FE,0x0801,0x0803,0x0801
0x07F7,0x07FC,0x07FF,0x0805,0x0806,0x07FE
0x07F5,0x07FC,0x07FF,0x0801,0x0803,0x0800
0x07F6,0x07FB,0x0801,0x0803,0x0806,0x0802
0x07F5,0x07FD,0x07FF,0x0803,0x0807,0x0802
0x07F8,0x07FB,0x07FC,0x0804,0x0802,0x0800
0x07F6,0x07FC,0x07FF,0x0803,0x0803,0x0801
0x07F7,0x07FD,0x07FF,0x0800,0x0802,0x07FF
0x07F7,0x07FA,0x07FE,0x0801,0x0803,0x0801
0x07F9,0x07FC,0x07FE,0x0802,0x0803,0x0800
0x07F7,0x07FA,0x07FC,0x07FD,0x0800,0x0800
0x07F8,0x07FB,0x07FE,0x07FF,0x0804,0x0800
0x07F7,0x07FD,0x07FD,0x07FF,0x0805,0x07FE
0x07F6,0x07FA,0x0801,0x0802,0x0805,0x0801
0x07F3,0x07FB,0x07FE,0x0801,0x0803,0x07FF
0x07F8,0x07FB,0x0800,0x0800,0x0804,0x0800
0x07F6,0x07FD,0x07FD,0x0803,0x0806,0x07FD
0x07F6,0x07FD,0x07FE,0x0802,0x0803,0x07FF
0x07F5,0x07FB,0x07FF,0x07FE,0x0804,0x0801
0x07F5,0x07FB,0x07FF,0x0802,0x0804,0x0801
0x07F6,0x07FC,0x07FE,0x0803,0x0803,0x0800
0x07F7,0x07FC,0x07FD,0x0801,0x0803,0x07FF
0x07F7,0x07FD,0x0800,0x0802,0x0807,0x0801
0x07F9,0x07FD,0x0801,0x0803,0x0805,0x0800
0x07FA,0x07FD,0x07FD,0x0803,0x0803,0x07FF
0x07F7,0x07FC,0x07FE,0x0801,0x0804,0x0801
0x07FA,0x07FB,0x07FF,0x0801,0x0804,0x0801
0x07F6,0x07FC,0x07FE,0x0802,0x0803,0x07FE
0x07FA,0x07FE,0x07FE,0x0804,0x0805,0x0801
0x07F4,0x07FC,0x0800,0x0803,0x0803,0x0802
0x07F6,0x07FB,0x0800,0x0803,0x0803,0x07FF
0x07FA,0x07FF,0x07FD,0x0802,0x0803,0x0800
0x07F6,0x07FB,0x07FC,0x0800,0x0806,0x0800
0x07F8,0x07FD,0x07FE,0x0801,0x0805,0x07FF
0x07F6,0x07FA,0x07FD,0x0801,0x0804,0x0800
0x07F4,0x07FA,0x07FC,0x0801,0x0805,0x0800
0x07F9,0x07FB,0x07FE,0x0801,0x0803,0x0801
0x07F5,0x07FF,0x07FD,0x07FF,0x0805,0x0801
0x07F9,0x07FE,0x07FE,0x0800,0x0803,0x07FD
0x07F7,0x07FC,0x07FD,0x0802,0x0804,0x07FF
0x07F6,0x07FB,0x07FF,0x0803,0x0803,0x0800
0x07F6,0x07FB,0x07FE,0x0803,0x0800,0x0802
0x07F8,0x07FD,0x07FB,0x0801,0x0805,0x07FE
0x07F7,0x07FC,0x0800,0x0802,0x0803,0x0803
0x07F7,0x07FD,0x07FF,0x0804,0x0804,0x07FF
0x07F4,0x07FC,0x07FD,0x0803,0x0803,0x0800
0x07F5,0x07FC,0x0801,0x07FE,0x0804,0x07FF
0x07F7,0x07FC,0x07FD,0x0802,0x0803,0x07FE
0x07F4,0x07FB,0x07FD,0x07FE,0x0802,0x0801
0x07F2,0x07FB,0x0801,0x07FF,0x0803,0x0801
0x07F6,0x07FA,0x07FC,0x07FF,0x0803,0x07FF
0x07F6,0x07FB,0x07FE,0x07FE,0x0801,0x07FE
0x07F6,0x07FC,0x07FE,0x0800,0x0804,0x0800
0x07F5,0x07FC,0x07FE,0x0802,0x0804,0x0802
0x07F5,0x07FA,0x07FF,0x0800,0x0803,0x0802
0x07F8,0x07FD,0x07FF,0x07FF,0x0806,0x0801
0x07F6,0x07FC,0x07FD,0x0801,0x0804,0x0800
0x07F5,0x07FA,0x07FD,0x0803,0x0802,0x07FE
0x07F5,0x07FC,0x0800,0x07FE,0x0801,0x0803
0x07F6,0x07FB,0x07FF,0x0800,0x0805,0x0801
0x07F6,0x07FC,0x0800,0x07FF,0x0803,0x07FF
0x07F6,0x07FC,0x07FD,0x0801,0x0807,0x0800
0x07F4,0x07FD,0x07FD,0x07FF,0x0803,0x07FF
0x07F6,0x07FC,0x07FF,0x0803,0x0804,0x0801
0x07F9,0x07FC,0x07FF,0x0801,0x0806,0x0801
0x07F9,0x07FB,0x07FE,0x0803,0x0803,0x0800
0x07F5,0x07FA,0x07FF,0x0802,0x0802,0x07FF
0x07F7,0x07FC,0x07FE,0x0803,0x0805,0x0801
0x07F5,0x07FB,0x07FE,0x07FE,0x0803,0x0800
0x07F9,0x07F9,0x07FE,0x0800,0x0805,0x0800
0x07F6,0x07FC,0x07FE,0x0804,0x0804,0x0801
0x07F4,0x07F8,0x07FE,0x0802,0x0803,0x0800
0x07F5,0x07FC,0x0802,0x0802,0x0802,0x07FF
0x07F9,0x07FC,0x07FD,0x0803,0x0802,0x0800
0x07F5,0x07FE,0x0800,0x07FE,0x0803,0x0802
0x07F8,0x07FE,0x07FF,0x0800,0x0803,0x07FE
0x07F7,0x07FC,0x07FF,0x0802,0x0804,0x0801
0x07F8,0x07FB,0x07FF,0x07FE,0x0805,0x0801
0x07F5,0x07FB,0x07FE,0x0804,0x0805,0x0802
0x07F5,0x07FD,0x07FE,0x0802,0x0803,0x07FF
0x07F5,0x07FE,0x07FE,0x0802,0x0802,0x0802
0x07F7,0x07FB,0x07FD,0x0801,0x0802,0x07FF
0x07F5,0x07FC,0x07FE,0x0801,0x0802,0x0802
0x07F5,0x07FD,0x07FF,0x0801,0x0800,0x0801
0x07F7,0x07FC,0x07FC,0x0803,0x0803,0x0802
0x07F4,0x07FB,0x07FC,0x0801,0x0801,0x0802
0x07F7,0x07FA,0x07FD,0x0802,0x0804,0x0800
0x07F9,0x07FC,0x07FE,0x0801,0x0803,0x0801
0x07F6,0x07FD,0x07FD,0x0801,0x0803,0x0802
0x07F5,0x07FC,0x07FD,0x0801,0x0804,0x0801
0x07F6,0x07FD,0x07FC,0x0802,0x0805,0x07FE
0x07F7,0x07FD,0x07FD,0x0802,0x0804,0x0800
0x07F6,0x07FE,0x07FE,0x0800,0x0803,0x07FE
0x07F6,0x07FC,0x07FD,0x07FE,0x0804,0x07FF
0x07F6,0x07FB,0x07FF,0x0803,0x0804,0x07FF
0x07F6,0x07FA,0x07FB,0x0801,0x0803,0x0801
0x07F6,0x07FC,0x0800,0x0800,0x0802,0x0800
0x07F3,0x07FD,0x0800,0x07FF,0x0804,0x07FE
0x07F8,0x07FE,0x0800,0x0801,0x0804,0x07FF
0x07F5,0x07FB,0x0803,0x07FF,0x0805,0x0801
0x07F7,0x07FC,0x0801,0x07FF,0x0801,0x0802
0x07F7,0x07FC,0x07FE,0x07FE,0x0803,0x0800
0x07F4,0x07FB,0x07FE,0x0802,0x0803,0x07FF
0x07F4,0x07FC,0x07FE,0x07FF,0x0805,0x0802
0x07F8,0x07FC,0x07FE,0x0805,0x0804,0x0801
0x07F6,0x07FC,0x07FE,0x0803,0x0804,0x0801
0x07F4,0x07FF,0x07FE,0x0801,0x0806,0x0801
0x07F7,0x07FD,0x0801,0x07FD,0x0802,0x0802
0x07F4,0x07FD,0x07FE,0x0801,0x0804,0x0800
0x07F5,0x07FD,0x07FF,0x0800,0x0803,0x0800
0x07F8,0x07FC,0x07FE,0x0803,0x0804,0x0802
0x07F8,0x07FD,0x07FF,0x07FE,0x0804,0x0801
0x07F4,0x07FD,0x0800,0x0802,0x0802,0x07FF
0x07F8,0x07FB,0x07FE,0x0804,0x0801,0x0800
0x07F7,0x07FC,0x0801,0x0801,0x0802,0x0801
0x07F5,0x07FB,0x07FE,0x0801,0x0804,0x0801
